X,CH1,CH2,
Second,Volt,Volt,
-5.48000e-04,-2.00e-01,8.00e-03,
-5.46000e-04,0.00e+00,0.00e+00,
-5.44000e-04,-2.00e-01,0.00e+00,
-5.42000e-04,-2.00e-01,-8.00e-03,
-5.40000e-04,0.00e+00,8.00e-03,
-5.38000e-04,-2.00e-01,-8.00e-03,
-5.36000e-04,-4.00e-01,0.00e+00,
-5.34000e-04,0.00e+00,8.00e-03,
-5.32000e-04,-4.00e-01,0.00e+00,
-5.30000e-04,0.00e+00,0.00e+00,
-5.28000e-04,-2.00e-01,0.00e+00,
-5.26000e-04,-2.00e-01,-8.00e-03,
-5.24000e-04,-2.00e-01,8.00e-03,
-5.22000e-04,-4.00e-01,-8.00e-03,
-5.20000e-04,-2.00e-01,8.00e-03,
-5.18000e-04,-2.00e-01,-8.00e-03,
-5.16000e-04,0.00e+00,0.00e+00,
-5.14000e-04,-4.00e-01,8.00e-03,
-5.12000e-04,-2.00e-01,0.00e+00,
-5.10000e-04,-2.00e-01,0.00e+00,
-5.08000e-04,-4.00e-01,8.00e-03,
-5.06000e-04,0.00e+00,-8.00e-03,
-5.04000e-04,-2.00e-01,-8.00e-03,
-5.02000e-04,-4.00e-01,8.00e-03,
-5.00000e-04,-2.00e-01,-8.00e-03,
-4.98000e-04,5.20e+00,8.00e-03,
-4.96000e-04,5.20e+00,-8.00e-03,
-4.94000e-04,5.00e+00,8.00e-03,
-4.92000e-04,5.20e+00,8.00e-03,
-4.90000e-04,5.00e+00,-8.00e-03,
-4.88000e-04,5.00e+00,2.40e-02,
-4.86000e-04,5.20e+00,-1.60e-02,
-4.84000e-04,5.20e+00,-8.00e-03,
-4.82000e-04,5.00e+00,8.00e-03,
-4.80000e-04,5.00e+00,-8.00e-03,
-4.78000e-04,5.20e+00,8.00e-03,
-4.76000e-04,5.20e+00,8.00e-03,
-4.74000e-04,5.00e+00,-8.00e-03,
-4.72000e-04,5.00e+00,0.00e+00,
-4.70000e-04,5.20e+00,0.00e+00,
-4.68000e-04,5.00e+00,8.00e-03,
-4.66000e-04,5.20e+00,-8.00e-03,
-4.64000e-04,5.00e+00,8.00e-03,
-4.62000e-04,5.20e+00,-8.00e-03,
-4.60000e-04,5.00e+00,-8.00e-03,
-4.58000e-04,5.20e+00,8.00e-03,
-4.56000e-04,5.00e+00,0.00e+00,
-4.54000e-04,5.20e+00,0.00e+00,
-4.52000e-04,5.00e+00,8.00e-03,
-4.50000e-04,5.20e+00,-8.00e-03,
-4.48000e-04,5.00e+00,8.00e-03,
-4.46000e-04,5.00e+00,-8.00e-03,
-4.44000e-04,5.00e+00,0.00e+00,
-4.42000e-04,5.20e+00,8.00e-03,
-4.40000e-04,5.00e+00,-8.00e-03,
-4.38000e-04,5.20e+00,0.00e+00,
-4.36000e-04,5.00e+00,8.00e-03,
-4.34000e-04,5.20e+00,-8.00e-03,
-4.32000e-04,5.20e+00,-8.00e-03,
-4.30000e-04,5.00e+00,8.00e-03,
-4.28000e-04,5.00e+00,8.00e-03,
-4.26000e-04,5.20e+00,-8.00e-03,
-4.24000e-04,5.00e+00,0.00e+00,
-4.22000e-04,5.20e+00,8.00e-03,
-4.20000e-04,5.00e+00,8.00e-03,
-4.18000e-04,5.20e+00,-8.00e-03,
-4.16000e-04,5.00e+00,0.00e+00,
-4.14000e-04,5.20e+00,8.00e-03,
-4.12000e-04,5.00e+00,0.00e+00,
-4.10000e-04,5.20e+00,8.00e-03,
-4.08000e-04,5.00e+00,0.00e+00,
-4.06000e-04,5.20e+00,8.00e-03,
-4.04000e-04,5.00e+00,-8.00e-03,
-4.02000e-04,5.20e+00,8.00e-03,
-4.00000e-04,5.20e+00,-8.00e-03,
-3.98000e-04,5.00e+00,8.00e-03,
-3.96000e-04,5.00e+00,0.00e+00,
-3.94000e-04,5.20e+00,-8.00e-03,
-3.92000e-04,5.00e+00,0.00e+00,
-3.90000e-04,5.20e+00,0.00e+00,
-3.88000e-04,5.00e+00,-8.00e-03,
-3.86000e-04,5.20e+00,8.00e-03,
-3.84000e-04,5.20e+00,8.00e-03,
-3.82000e-04,5.00e+00,-8.00e-03,
-3.80000e-04,5.20e+00,0.00e+00,
-3.78000e-04,5.00e+00,0.00e+00,
-3.76000e-04,5.00e+00,-8.00e-03,
-3.74000e-04,5.20e+00,8.00e-03,
-3.72000e-04,5.00e+00,8.00e-03,
-3.70000e-04,5.20e+00,-8.00e-03,
-3.68000e-04,5.20e+00,0.00e+00,
-3.66000e-04,5.00e+00,0.00e+00,
-3.64000e-04,5.20e+00,-8.00e-03,
-3.62000e-04,5.00e+00,8.00e-03,
-3.60000e-04,5.20e+00,-8.00e-03,
-3.58000e-04,5.00e+00,8.00e-03,
-3.56000e-04,5.20e+00,8.00e-03,
-3.54000e-04,5.00e+00,-8.00e-03,
-3.52000e-04,5.20e+00,0.00e+00,
-3.50000e-04,5.00e+00,8.00e-03,
-3.48000e-04,5.20e+00,-8.00e-03,
-3.46000e-04,5.00e+00,8.00e-03,
-3.44000e-04,5.00e+00,8.00e-03,
-3.42000e-04,5.20e+00,-8.00e-03,
-3.40000e-04,5.00e+00,-8.00e-03,
-3.38000e-04,5.20e+00,8.00e-03,
-3.36000e-04,5.00e+00,0.00e+00,
-3.34000e-04,5.20e+00,8.00e-03,
-3.32000e-04,5.20e+00,8.00e-03,
-3.30000e-04,5.00e+00,-8.00e-03,
-3.28000e-04,5.20e+00,8.00e-03,
-3.26000e-04,5.00e+00,0.00e+00,
-3.24000e-04,5.20e+00,-8.00e-03,
-3.22000e-04,5.00e+00,8.00e-03,
-3.20000e-04,5.20e+00,8.00e-03,
-3.18000e-04,5.00e+00,0.00e+00,
-3.16000e-04,5.20e+00,8.00e-03,
-3.14000e-04,5.00e+00,-8.00e-03,
-3.12000e-04,5.00e+00,8.00e-03,
-3.10000e-04,5.20e+00,-8.00e-03,
-3.08000e-04,5.00e+00,0.00e+00,
-3.06000e-04,5.20e+00,8.00e-03,
-3.04000e-04,5.00e+00,8.00e-03,
-3.02000e-04,5.20e+00,0.00e+00,
-3.00000e-04,5.00e+00,-8.00e-03,
-2.98000e-04,5.20e+00,8.00e-03,
-2.96000e-04,5.00e+00,0.00e+00,
-2.94000e-04,5.20e+00,8.00e-03,
-2.92000e-04,5.20e+00,0.00e+00,
-2.90000e-04,5.00e+00,8.00e-03,
-2.88000e-04,5.00e+00,0.00e+00,
-2.86000e-04,5.20e+00,-8.00e-03,
-2.84000e-04,5.00e+00,-8.00e-03,
-2.82000e-04,5.20e+00,8.00e-03,
-2.80000e-04,5.00e+00,-8.00e-03,
-2.78000e-04,5.20e+00,8.00e-03,
-2.76000e-04,5.00e+00,0.00e+00,
-2.74000e-04,5.20e+00,0.00e+00,
-2.72000e-04,5.00e+00,8.00e-03,
-2.70000e-04,5.20e+00,-8.00e-03,
-2.68000e-04,5.20e+00,8.00e-03,
-2.66000e-04,5.00e+00,-8.00e-03,
-2.64000e-04,5.00e+00,0.00e+00,
-2.62000e-04,5.20e+00,0.00e+00,
-2.60000e-04,5.20e+00,0.00e+00,
-2.58000e-04,5.00e+00,-8.00e-03,
-2.56000e-04,5.00e+00,8.00e-03,
-2.54000e-04,5.20e+00,-8.00e-03,
-2.52000e-04,5.00e+00,-8.00e-03,
-2.50000e-04,5.20e+00,8.00e-03,
-2.48000e-04,-2.00e-01,0.00e+00,
-2.46000e-04,-4.00e-01,8.00e-03,
-2.44000e-04,-2.00e-01,8.00e-03,
-2.42000e-04,-2.00e-01,-8.00e-03,
-2.40000e-04,-2.00e-01,-8.00e-03,
-2.38000e-04,-2.00e-01,1.60e-02,
-2.36000e-04,-2.00e-01,8.00e-03,
-2.34000e-04,-4.00e-01,0.00e+00,
-2.32000e-04,-2.00e-01,0.00e+00,
-2.30000e-04,-4.00e-01,-8.00e-03,
-2.28000e-04,-2.00e-01,0.00e+00,
-2.26000e-04,0.00e+00,0.00e+00,
-2.24000e-04,-2.00e-01,8.00e-03,
-2.22000e-04,-4.00e-01,0.00e+00,
-2.20000e-04,-2.00e-01,0.00e+00,
-2.18000e-04,-2.00e-01,8.00e-03,
-2.16000e-04,-2.00e-01,0.00e+00,
-2.14000e-04,-2.00e-01,0.00e+00,
-2.12000e-04,-2.00e-01,8.00e-03,
-2.10000e-04,-2.00e-01,-8.00e-03,
-2.08000e-04,-2.00e-01,8.00e-03,
-2.06000e-04,-2.00e-01,-8.00e-03,
-2.04000e-04,-2.00e-01,0.00e+00,
-2.02000e-04,0.00e+00,8.00e-03,
-2.00000e-04,-2.00e-01,-8.00e-03,
-1.98000e-04,0.00e+00,8.00e-03,
-1.96000e-04,-2.00e-01,8.00e-03,
-1.94000e-04,-2.00e-01,-8.00e-03,
-1.92000e-04,-2.00e-01,8.00e-03,
-1.90000e-04,0.00e+00,-8.00e-03,
-1.88000e-04,-2.00e-01,0.00e+00,
-1.86000e-04,-2.00e-01,8.00e-03,
-1.84000e-04,-2.00e-01,0.00e+00,
-1.82000e-04,-2.00e-01,-8.00e-03,
-1.80000e-04,-4.00e-01,-8.00e-03,
-1.78000e-04,0.00e+00,8.00e-03,
-1.76000e-04,-2.00e-01,-8.00e-03,
-1.74000e-04,-2.00e-01,8.00e-03,
-1.72000e-04,-2.00e-01,8.00e-03,
-1.70000e-04,-2.00e-01,-8.00e-03,
-1.68000e-04,-2.00e-01,0.00e+00,
-1.66000e-04,-2.00e-01,8.00e-03,
-1.64000e-04,-2.00e-01,-8.00e-03,
-1.62000e-04,-2.00e-01,8.00e-03,
-1.60000e-04,0.00e+00,-8.00e-03,
-1.58000e-04,-4.00e-01,8.00e-03,
-1.56000e-04,-2.00e-01,0.00e+00,
-1.54000e-04,-2.00e-01,8.00e-03,
-1.52000e-04,-2.00e-01,-8.00e-03,
-1.50000e-04,-2.00e-01,8.00e-03,
-1.48000e-04,-2.00e-01,-8.00e-03,
-1.46000e-04,-2.00e-01,8.00e-03,
-1.44000e-04,-2.00e-01,0.00e+00,
-1.42000e-04,-2.00e-01,-8.00e-03,
-1.40000e-04,-2.00e-01,0.00e+00,
-1.38000e-04,0.00e+00,8.00e-03,
-1.36000e-04,-2.00e-01,8.00e-03,
-1.34000e-04,-4.00e-01,-8.00e-03,
-1.32000e-04,-2.00e-01,-8.00e-03,
-1.30000e-04,0.00e+00,8.00e-03,
-1.28000e-04,-2.00e-01,0.00e+00,
-1.26000e-04,-2.00e-01,8.00e-03,
-1.24000e-04,-2.00e-01,8.00e-03,
-1.22000e-04,-2.00e-01,-8.00e-03,
-1.20000e-04,-2.00e-01,-8.00e-03,
-1.18000e-04,0.00e+00,8.00e-03,
-1.16000e-04,-2.00e-01,-8.00e-03,
-1.14000e-04,0.00e+00,8.00e-03,
-1.12000e-04,-2.00e-01,0.00e+00,
