Souèást;Hodnota;Device;Package;Description;CREATED_BY;DIGIKEY_PART_NUMBER;MANUFACTURER;MPN;PACKAGE2;POPULARITY;PROD_ID;SF_ID;SPICEPREFIX
C1;10uF;CPOL-EU153CLV-0605;153CLV-0605;POLARIZED CAPACITOR, European symbol;;;;;;5;;;C
C2;0.1uf;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;88;;;C
C3;10uF;CPOL-EUSMCC;SMC_C;POLARIZED CAPACITOR, European symbol;;;;;;4;;;C
C4;10uF;CPOL-EUSMCC;SMC_C;POLARIZED CAPACITOR, European symbol;;;;;;4;;;C
IC1;-;TB6612FNG;SSOP24;TB6612FNG;;;;;;;;;
IC2;-;317EMP;SOT223;Positive VOLTAGE REGULATOR;;;;;;6;;;
J1;-;S4B-XH-A(LF)(SN);HDR-04/RA;CONN HEADER R/A 4POS 2.5MM;PCBLayout.com;455-2243-ND;JST Sales America Inc.;S4B-XH-A(LF)(SN);;;;;
J2;-;POWER_JACKTOE;POWER_JACK_SMD_OVERPASTE_TOE;Power Jack Connector;;;;;;;CONN-08106;PRT-12748;
J3;-;S4B-XH-A(LF)(SN);HDR-04/RA;CONN HEADER R/A 4POS 2.5MM;PCBLayout.com;455-2243-ND;JST Sales America Inc.;S4B-XH-A(LF)(SN);;;;;
I.01;RED;LEDCHIPLED_0805;CHIPLED_0805;LED;;;;;;52;;;
I.02;GREEN;LEDCHIPLED_0805;CHIPLED_0805;LED;;;;;;52;;;
I.03;RED;LEDCHIPLED_0805;CHIPLED_0805;LED;;;;;;52;;;
I.04;GREEN;LEDCHIPLED_0805;CHIPLED_0805;LED;;;;;;52;;;
I.05;RED;LEDCHIPLED_0805;CHIPLED_0805;LED;;;;;;52;;;
Q1;-;FQD13N06LTM;DPAK3;MOSFET N-CH 60V 11A DPAK;PCBLayout.com;FQD13N06LTMCT-ND;ON Semiconductor;FQD13N06LTM;DPAK-4;;;;
Q2;-;2N7002,215;SOT23-3;MOSFET N-CH 60V 300MA SOT-23;PCBLayout.com;1727-2764-1-ND;Nexperia USA Inc.;2N7002,215;SOT-23-3;;;;
Q3;-;2N7002,215;SOT23-3;MOSFET N-CH 60V 300MA SOT-23;PCBLayout.com;1727-2764-1-ND;Nexperia USA Inc.;2N7002,215;SOT-23-3;;;;
R1;1k;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;;86;;;R
R2;1k;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;;86;;;R
R3;10k;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;;86;;;R
R4;10k;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;;86;;;R
R5;10k;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;;86;;;R
R6;10k;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;;86;;;R
R7;220R;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;;86;;;R
U2;-;ESP-32S;ESP-32S;Ai-Thinker ESP-32S;;;;;;;;;
